x;y
800.067051162608;1.00576743911944
796.0834840362986;1.8337755174530401
792.0990657903933;2.65611387429496
788.1138044677539;3.47281798591152
784.1277079791258;4.28392250781192
780.1407841053116;5.08946127291096
776.1530404993498;5.889467289658399
772.1644846886968;6.683972740134079
768.175124077413;7.4730089781072
764.184965948353;8.256606527059041
760.1940174653612;9.034795078167921
756.2022856754711;9.807603488255602
752.2097775111079;10.5750597776924
748.2164997922981;11.337191128261919
744.2224592288813;12.094023880982881
740.2276624227289;12.84558353388544
736.2321158699656;13.591894739743601
732.2358259631974;14.332981303759679
728.2387989937437;15.068866181199839
724.2410411538742;15.7995714749804
720.242558539053;16.525118433201442
716.2433571501851;17.24552744662728
712.2434428958708;17.96081804611168
708.2428215946641;18.67100889996584
704.2414989773374;19.376117811267278
700.2394806891527;20.07616171510824
696.2367722921371;20.7711566757804
692.2333792673653;21.46111788389528
688.2293070172492;22.1460596534364
684.2245608678318;22.82599541874288
680.2191460710892;23.500937731420322
676.2130678072393;24.17089825717784
672.2063311870564;24.83588777258776
668.198941254193;25.49591616176584
664.1909029875096;26.150992412969444
660.1822213034112;26.80112461511024
656.1729010581915;27.446319954178477
652.1629470503852;28.0865847095768
648.1523640231276;28.721924250358562
644.1411566665226;29.352343031369198
640.1293296200205;29.97784458928568
636.116887474802;30.598431538551363
632.103834776173;31.214105567201923
628.0901760259686;31.824867432578642
624.0759156849649;32.43071695692504
620.0610581753024;33.03165302286248
616.0456078829179;33.62767356874008
612.0295691599886;34.21877558385472
608.0129463273842;34.80495510353608
603.9957436771325;35.38620720409128
599.9779654748946;35.96252599760496
595.9596159624533;36.53390462658784
591.940699360211;37.100335258469116
587.9212198697035;37.66180907992632
583.9011816761234;38.218316291046165
579.880588950859;38.76984609931056
575.8594458540454;39.31638671339968
571.8377565371308;39.85792533680648
567.815525145457;40.3944481612536
563.7927558208553;40.925940359906484
559.7694527042569;41.4523860803732
555.7456199383221;41.97376843748256
551.7212616700833;42.49006950583224
547.6963820536075;43.00127031209736
543.6709852526762;43.50735082708848
539.6450754434836;44.0082899575508
535.6186568173551;44.50406553769136
531.5917335834848;44.9946543204248
527.5643099716954;45.48003196832464
523.5363902352176;45.96017304426832
519.5079786534947;46.435051001761515
515.4790795350078;46.90463817493
511.4496972201282;47.3689057681624
507.41983608399215;47.827823845390164
503.38950053940454;48.28136131898752
499.35869503976784;48.72948593827592
495.32742408204086;49.17216427761328
491.2956922097269;49.60936172405112
487.2635040158921;50.041042464539046
483.23086414621724;50.46716947265551
479.1977773020813;50.88770449484392
475.164248243682;51.30260803612992
471.13028179319167;51.711839345295765
467.0958828379514;52.115356399486956
463.061056333705;52.513115888222316
459.0258073078745;52.90507319678041
454.99014086287985;53.29118238893056
450.9540621795027;53.67139618897752
446.9175765202987;54.0456659630848
442.8806892330591;54.41394169984128
438.84340575432475;54.77617199003279
434.805731612954;55.1323040055788
430.7676724337485;55.48228347758952
426.72923394113826;55.826054673501126
422.6904219629301;56.163560373237445
418.6512424341212;56.494741844349605
414.61170140078235;56.81953881607752
410.5718050240149;57.13788945227593
406.5315595839819;57.44973032314352
402.4909714840213;57.75499637568944
398.450047254843;58.053620902866875
394.4087935588152;58.3455355113004
390.36721719434394;58.63067008752672
386.3253251003518;58.90895276266384
382.2831243608603;59.18030987541968
378.2406222096825;59.444665933342
374.1978260352313;59.70194357220664
370.1547433854494;59.952063513433686
366.1113819728708;60.1949445194132
362.06774967981573;60.430503346612966
358.02385456373383;60.65865469633231
353.9797048626981;60.87931116295664
349.9353090010618;61.092383179554
345.8906755952888;61.29777896064728
341.84581345996463;61.495404441977996
337.80073161400287;61.685163217068315
333.7554392870568;61.866956470369516
329.70994592615074;62.040682906769916
325.66426120254386;62.20623867721744
321.6183950188429;62.36351730019152
317.55287979672954;62.511893937537444
313.4740590935021;62.64913649950103
309.3949005982419;62.774900416090965
305.31542907336376;62.889067332147995
301.2356698936373;62.991515846040805
297.1556490660879;63.0821214009056
293.075393250774;63.16075616920496
288.99492978250134;63.227288930098005
284.91428669354696;63.28158493907032
280.83349273746563;63.323505789218956
276.7525774140614;63.352909263532645
272.6715709956158;63.3696491774452
268.59050455446777;63.37357521086968
264.5094099920548;63.36453272884448
260.428320069533;63.34236258983664
256.34726844010356;63.30690094065135
252.26628968318968;63.25797899678904
248.18541934061776;63.1954228069724
244.10469395497776;63.1190530004308
240.02415111035117;63.02868451537664
235.94382947561624;62.92412630694104
231.8637688505661;62.80518103264095
227.78401021509512;62.671644713235196
223.70459578174257;62.523306366579845
219.62556905191352;62.35994761181616
215.5469748761325;62.18134224090433
211.46885951873062;61.987255754159044
207.39127072741167;61.77744485602776
203.31425780819944;61.55165690687991
199.2378717063311;61.3096293260344
195.16216509373152;61.05108894062816
191.0871924637888;60.77575127420785
187.013010234246;60.48331976809376
182.93967685913344;60.17348492759712
178.8672529507961;59.84592338404888
174.79580141321952;59.50029686227792
170.7253875880341;59.13625104164344
166.6560794147785;58.75341429690848
162.58794760725098;58.351396303111756
158.5210658480553;57.92978648605976
154.45551100379225;57.48815229705863
150.3913633637456;57.02603728691128
146.32870690539568;56.54295894990376
142.26762959067008;56.038406303322
138.20822369753984;55.5118371617668
134.15058619241512;54.962675057911035
130.09481914982624;54.390305752019195
126.0410302271404;53.79407326108888
121.9893332036268;53.17327532430568
117.9398485951144;52.52715820387041
113.89270435790904;51.8549106981796
109.84803669867608;51.155657216489836
105.80599101084871;50.42844972881376
101.7667229630472;49.6722583594732
97.73039977133648;48.885960334196085
93.69720169539536;48.0683269143312
89.66732380949576;47.21800785130504
85.6409781135532;46.33351276081432
81.61839606878112;45.4131886364428
77.59983166866336;44.4551924774512
73.58556519201032;43.457457667307594
69.57590783523376;42.4176522657084
65.57120749249168;41.33312670223728
61.57185605571688;40.2008473821544
57.57829875887032;39.01731126992552
53.59104632022312;37.778434333537284
49.6106909906768;36.4794033541072
45.6379281781968;35.114475228914635
41.6735862388476;33.67669906695856
37.718668587584716;32.15752134342984
33.77441504890264;30.5462076851616
29.84239451543152;28.828965049390398
25.924651145887278;26.987549434216803
22.02394790786808;24.99693428525912
18.14420143323808;22.82112507845496
14.291333457580798;20.404919823282
10.47516837560936;17.655444091814722
6.714591030741519;14.39167114353416
3.0576611134716;10.14632651132264
0.0;0.0
4.98253989155344;-9.347356788335839
9.365810979308641;-12.803832452592001
13.645434639466;-15.288837187948639
17.8694705625196;-17.26964546152344
22.056803591887437;-18.92728401383544
26.217258122282562;-20.354627272809918
30.35675588928848;-21.60687722896944
34.47921352476936;-22.7200284063764
38.587393996323435;-23.719107359412238
42.683341462666476;-24.62235808997664
46.76862481642864;-25.443573640832962
50.84448388210464;-26.19348838514808
54.91192207464975;-26.880655847731038
58.971767750128556;-27.51202691958304
63.024716316506556;-28.093344703424723
67.07136002468505;-28.62942241813832
71.11220959293544;-29.12434409573744
75.14771025521848;-29.58161277175616
79.17825390346695;-30.00426204093448
83.20418843183913;-30.394941473688718
87.22582503674649;-30.75598301032224
91.24344399699952;-31.0894532673672
95.25729930608207;-31.3971952455628
99.2676224252076;-31.680861951325202
103.27462535429153;-31.94194376895784
107.278503167606;-32.18179094703408
111.2794361248296;-32.40163222420528
115.27759144202736;-32.60259037474344
119.2731247878196;-32.78569527432664
123.26618155563935;-32.9518949529424
127.25689795215207;-33.102065001334005
131.24540193366352;-33.23701662110504
135.2318140160029;-33.35750355005464
139.21624797843904;-33.46422804899712
143.19881147833954;-33.55784610093496
147.17960659023439;-33.63897194560376
151.15873028053383;-33.70818205033056
155.13627482720904;-33.76601860051448
159.1123281921876;-33.812992578869675
163.08697435294968;-33.84958649111008
167.0602935987791;-33.876256786432876
171.03236279627671;-33.89343601353184
175.00325562804625;-33.9015347466004
178.97304280788592;-33.90094331059992
182.94179227533456;-33.89203333076736
186.90956937202225;-33.8751591277436
190.8764370019348;-33.8506589766996
194.8424557774172;-33.81885624630456
198.8076841524996;-33.78006043124704
202.77217854492503;-33.73456809020704
206.7359934480819;-33.682663699637686
210.69918153389486;-33.62462043240216
214.66179374760097;-33.56070086918136
218.62387939522426;-33.49115764960608
222.5854862244684;-33.41623406922888
226.54666049966448;-33.33616462773488
230.50744707133703;-33.25117553316392
234.46788944089116;-33.16148516637496
238.4280298208662;-33.06730450951176
242.3879091911564;-32.96883754181536
246.3475673515548;-32.86628160576904
250.30704297094007;-32.7598277462416
254.26637363339321;-32.649661025020634
258.22559588150443;-32.5359608128768
262.18474525710013;-32.418901061087354
266.1438563396034;-32.29865055415192
270.1029627822157;-32.175373145265276
274.0620973460926;-32.0492279759604
278.02129193267217;-31.920369681198878
281.98057761429317;-31.7889485810676
285.9399846632369;-31.65511086013296
289.8995425793077;-31.51899873540592
293.85928011606006;-31.380750613789683
297.81922530577134;-31.24050123979856
301.77940548324716;-31.098381834273358
305.73984730854573;-30.95452022475168
309.70057678869273;-30.8090409680972
313.66161929845777;-30.66206546594128
317.62299960025535;-30.513712073443124
321.5976853831671;-30.36387643814824
325.5920202044913;-30.210638117186722
329.58653648590956;-30.053611873210162
333.5812441300286;-29.892904187739124
